file,line_number,path,pattern_type,category
gen_architecture.py,177,"/opt/ai_data/scripts/current-system-mode.env",absolute,/opt/ai_data
lib/extract_llm/_core.py,159,"/opt/ai_data,",absolute,/opt/ai_data
lib/extract_llm/_core.py,194,"/opt/ai_data,",absolute,/opt/ai_data
lib/rate_limiter.py,18,"/opt/ai_data/flaresolverr/rate_limiter.db",absolute,/opt/ai_data
lib/rubric/utils.py,8,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
lib/cli_helpers.py,129,"/opt/ai_data",absolute,/opt/ai_data
lib/tracking/phase_tracker.py,74,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
lib/infra/preflight.py,51,"/opt/ai_data/scripts",absolute,/opt/ai_data
lib/infra/preflight.py,150,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
lib/search/local_index.py,11,"/opt/ai_data/search/search.db",absolute,/opt/ai_data
lib/search/local_index.py,30,"/opt/ai_data/search",absolute,/opt/ai_data
lib/protection.py,11,"/opt/ai_data/scripts/.protect_{context}``",absolute,/opt/ai_data
lib/protection.py,25,"/opt/ai_data/scripts",absolute,/opt/ai_data
lib/pod_manager/container.py,32,"/opt/ai_data/models/gguf:/models:Z",absolute,/opt/ai_data
lib/pod_manager/container.py,34,"/opt/ai_data/scripts/inference-entrypoint.sh:/entrypoint.d/inference-entrypoint.sh:Z",absolute,/opt/ai_data
lib/pod_manager/container.py,36,"/opt/ai_data/scripts/current-mode-inference.env:/entrypoint.d/current-mode.env:Z",absolute,/opt/ai_data
lib/pod_manager/container.py,74,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
lib/pod_manager/container.py,75,"/opt/ai_data/scripts/inference-entrypoint.sh",absolute,/opt/ai_data
lib/model_ctl.py,33,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
lib/model_ctl.py,50,"/opt/ai_data/models/gguf:/models:Z",absolute,/opt/ai_data
lib/model_ctl.py,52,"/opt/ai_data/scripts/inference-entrypoint.sh:/entrypoint.d/inference-entrypoint.sh:Z",absolute,/opt/ai_data
lib/model_ctl.py,54,"/opt/ai_data/scripts/current-mode-inference.env:/entrypoint.d/current-mode.env:Z",absolute,/opt/ai_data
lib/debate/debate_data.py,9,"/opt/ai_data/debate/switch/model-switch.json",absolute,/opt/ai_data
lib/debate/debate_data.py,10,"/opt/ai_data/debate_sessions",absolute,/opt/ai_data
lib/watchdog/checker.py,248,"/opt/ai_data/models/gguf/{meta[",absolute,/opt/ai_data
lib/watchdog/config.py,22,"/opt/ai_data/scripts/current-system-mode.env",absolute,/opt/ai_data
lib/watchdog/config.py,23,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
lib/watchdog/config.py,27,"/opt/ai_data/scripts/watchdog_state.json",absolute,/opt/ai_data
lib/hybrid/utils.py,13,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
lib/file_registry.py,26,"/opt/ai_data/uploads",absolute,/opt/ai_data
collect_novel.py,21,"/opt/ai_data/flaresolverr/novels/하남자의_탑_공략법",absolute,/opt/ai_data
pipelines/worklog_generator.py,237,"/opt/ai_data/worklog_metrics.jsonl",absolute,/opt/ai_data
tests/rubric.py,34,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_pipeline_e2e.py,69,"/opt/ai_data/test_pipeline_10samples.json",absolute,/opt/ai_data
tests/test_gt_recovery.py,84,"/opt/ai_data/models/gguf:/models:Z",absolute,/opt/ai_data
tests/test_fact5_comparison.py,61,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/day_cycle_pipeline.py,211,"/opt/ai_data/day_cycle_test_report.json",absolute,/opt/ai_data
tests/day_model_test.py,22,"/opt/ai_data/models",absolute,/opt/ai_data
tests/day_model_test.py,84,"/opt/ai_data",absolute,/opt/ai_data
tests/day_model_test.py,144,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/day_model_test.py,305,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/day_model_test_direct.py,21,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/day_model_test_direct.py,51,"/opt/ai_data/models/gguf:/models:Z",absolute,/opt/ai_data
tests/day_model_test_direct.py,53,"/opt/ai_data/scripts/inference-entrypoint.sh:/entrypoint.d/inference-entrypoint.sh:Z",absolute,/opt/ai_data
tests/day_model_test_direct.py,55,"/opt/ai_data/scripts/lib/memory_guard.sh:/entrypoint.d/lib/memory_guard.sh:Z",absolute,/opt/ai_data
tests/day_model_test_direct.py,57,"/opt/ai_data/scripts/current-mode-inference.env:/entrypoint.d/current-mode.env:Z",absolute,/opt/ai_data
tests/day_verify_compare.py,185,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/day_verify_compare.py,209,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/day_verify_retry.py,90,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/day_verify_retry.py,114,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/embed_bench.py,11,"/opt/ai_data/embed_bench_report.json",absolute,/opt/ai_data
tests/embed_bench.py,28,"/opt/ai_data/embed_bench_pairs.json",absolute,/opt/ai_data
tests/embed_bench.py,29,"/opt/ai_data/embed_bench_report.json",absolute,/opt/ai_data
tests/embed_bench.py,30,"/opt/ai_data/models/gguf",absolute,/opt/ai_data
tests/embed_bench.py,31,"/opt/ai_data/models",absolute,/opt/ai_data
tests/eval_comparison.py,24,"/opt/ai_data/debate_sessions",absolute,/opt/ai_data
tests/extract_compare.py,19,"/opt/ai_data/models",absolute,/opt/ai_data
tests/model_comparison_test.py,45,"/opt/ai_data/models",absolute,/opt/ai_data
tests/model_comparison_test.py,269,"/opt/ai_data",absolute,/opt/ai_data
tests/model_comparison_test.py,284,"/opt/ai_data",absolute,/opt/ai_data
tests/model_comparison_test.py,288,"/opt/ai_data",absolute,/opt/ai_data
tests/model_comparison_test.py,291,"/opt/ai_data",absolute,/opt/ai_data
tests/model_comparison_test.py,410,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/neutral_improve.py,27,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/nli_compare.py,27,"/opt/ai_data/models",absolute,/opt/ai_data
tests/nli_compare_14b.py,32,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/pipeline_preverify_test.py,74,"/opt/ai_data/search/search.db?immutable=1",absolute,/opt/ai_data
tests/pipeline_verify_compare.py,654,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,21,"/opt/ai_data/models",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,99,"/opt/ai_data",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,104,"/opt/ai_data",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,179,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,380,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,402,"/opt/ai_data/models/gguf/{P_MODEL}",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,412,"/opt/ai_data/models/gguf/{R_MODEL}",absolute,/opt/ai_data
tests/prj_ground_truth_test.py,422,"/opt/ai_data/models/gguf/{J_MODEL}",absolute,/opt/ai_data
tests/prj_model_test.py,188,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/prj_model_test.py,215,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/prj_model_test.py,291,"/opt/ai_data/models/gguf/{model_file}",absolute,/opt/ai_data
tests/test_night_prj_eval.py,84,"/opt/ai_data",absolute,/opt/ai_data
tests/test_night_prj_eval.py,86,"/opt/ai_data",absolute,/opt/ai_data
tests/test_night_prj_eval.py,188,"/opt/ai_data",absolute,/opt/ai_data
tests/test_night_prj_eval.py,193,"/opt/ai_data",absolute,/opt/ai_data
tests/test_night_prj_eval.py,255,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_night_prj_eval.py,343,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_night_prj_eval.py,362,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_night_prj_eval.py,688,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_r_role_dsv2.sh,8,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_r_role_dsv2.sh,49,"/opt/ai_data/models/gguf:/models:Z",absolute,/opt/ai_data
tests/test_phase2_3.py,120,"/opt/ai_data/models/gguf",absolute,/opt/ai_data
tests/test_v5_arbiter_fallback.py,92,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_v5_arbiter_fallback.py,96,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
tests/test_arbiter_dual_7b9b.py,37,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
pdf_reader_mcp.py,48,"/opt/ai_data",absolute,/opt/ai_data
pdf_reader_mcp.py,194,"/opt/ai_data/pdf",absolute,/opt/ai_data
pdf_reader_mcp.py,278,"/opt/ai_data/pdf)",absolute,/opt/ai_data
review_pipeline_3model.py,92,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
osync_backup.py,34,"/opt/ai_data/backups",absolute,/opt/ai_data
notice/lib/bot_processor.py,105,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
notice/lib/bot_processor.py,165,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
osync_restore_test.py,6,"/opt/ai_data/backups/db/devforge_*.dump",absolute,/opt/ai_data
osync_restore_test.py,19,"/opt/ai_data/backups/db/devforge_*.dump",absolute,/opt/ai_data
osync_restore_test.py,20,"/opt/ai_data/backups/osync.log",absolute,/opt/ai_data
cli.py,571,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
cli.py,572,"/opt/ai_data/scripts/current-system-mode.env",absolute,/opt/ai_data
cli.py,661,"/opt/ai_data/debate_sessions/{session.session_id}/final_report.md",absolute,/opt/ai_data
cli.py,756,"/opt/ai_data/debate_sessions/{session_id}/final_report.md",absolute,/opt/ai_data
cli.py,762,"/opt/ai_data/extractions/{session_id}/report.json",absolute,/opt/ai_data
day_cycle.sh,113,"/opt/ai_data/scripts/current-mode-inference.env",absolute,/opt/ai_data
droplr_upload.py,18,"/opt/projects/server/scripts/droplr_upload.py:18:sys.path.insert(0,",absolute,/opt/projects/server
lint_rules/__init__.py,15,"/opt/projects/server/scripts/lint_rules/__init__.py:15:SCRIPTS_DIR",absolute,/opt/projects/server
gen_architecture.py,25,"/opt/projects/server/scripts/gen_architecture.py:25:CLAUDE_YAML",absolute,/opt/projects/server
gen_architecture.py,26,"/opt/projects/server/scripts/gen_architecture.py:26:CODE_STRUCTURE_YAML",absolute,/opt/projects/server
gen_architecture.py,27,"/opt/projects/server/scripts/gen_architecture.py:27:SCRIPTS_DIR",absolute,/opt/projects/server
gen_architecture.py,29,"/opt/projects/server/scripts/gen_architecture.py:29:ARCH_INFRA_OUTPUT",absolute,/opt/projects/server
gen_architecture.py,30,"/opt/projects/server/scripts/gen_architecture.py:30:SOFTWARE_OUTPUT",absolute,/opt/projects/server
gen_architecture.py,31,"/opt/projects/server/scripts/gen_architecture.py:31:TIMER_REGISTRY_OUTPUT",absolute,/opt/projects/server
gen_architecture.py,101,"/opt/projects/server/scripts/gen_architecture.py:101:",absolute,/opt/projects/server
gen_architecture.py,137,"/opt/projects/server/scripts/gen_architecture.py:137:",absolute,/opt/projects/server
mcp_server.py,832,"/opt/projects/server/scripts/mcp_server.py:832:",absolute,/opt/projects/server
mcp_server.py,836,"/opt/projects/server/scripts/mcp_server.py:836:",absolute,/opt/projects/server
lib/enrich/utils.py,62,"/opt/projects/server/scripts/lib/enrich/utils.py:62:def",absolute,/opt/projects/server
lib/enrich/utils.py,76,"/opt/projects/server/scripts/lib/enrich/utils.py:76:",absolute,/opt/projects/server
lib/model_ctl.sh,8,"/opt/projects/server/scripts/lib/model_ctl.sh:8:#",absolute,/opt/projects/server
lib/model_ctl.sh,22,"/opt/projects/server/scripts/lib/model_ctl.sh:22:MODEL_CTL_SCRIPT_DIR=",absolute,/opt/projects/server
lib/tracking/dependency_tracker.py,19,"/opt/projects/server/scripts/lib/tracking/dependency_tracker.py:19:REF_ROOT",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,35,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:35:REF_ROOT",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,51,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:51:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,52,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:52:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,61,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:61:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,64,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:64:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,67,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:67:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,76,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:76:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,79,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:79:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,82,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:82:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,83,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:83:",absolute,/opt/projects/server
lib/tracking/phase_tracker.py,116,"/opt/projects/server/scripts/lib/tracking/phase_tracker.py:116:",absolute,/opt/projects/server
